
 Daxpy product:
   Blaze [MFlop/s]:
     1           0.258454
     2           0.504757
     3           0.861871
     4           1.01038
     5           1.41348
     6           1.69521
     7           1.9852
     8           2.24701
     9           2.46921
     10          2.30472
     11          2.73725
     12          2.81335
     13          3.48428
     14          3.40889
     15          3.4883
     16          3.73713
     17          4.50083
     18          4.75164
     19          4.99186
     20          5.26291
     22          5.78773
     24          6.33036
     26          5.8314
     28          6.26613
     30          7.39888
     33          7.9051
     36          9.36329
     39          10.148
     42          10.9836
     46          11.0217
     50          11.2075
     55          13.2724
     60          15.3892
     66          16.9458
     72          17.2623
     79          20.3382
     86          20.4708
     94          23.2901
     103         25.3056
     113         29.3168
     124         28.4571
     136         32.7474
     149         36.1731
     163         41.0906
     179         45.6079
     196         50.0198
     215         54.2034
     236         58.8505
     259         63.9235
     284         71.3234
     312         74.9094
     343         71.9627
     377         83.5769
     414         90.6973
     455         99.6285
     500         110.869
     550         121.845
     605         135.362
     665         148.047
     731         160.877
     804         189.382
     884         209.77
     972         228.999
     1069        239.493
     1175        260.067
     1292        304.768
     1421        337.585
     1563        367.085
     1719        394.258
     1890        445.517
     2079        487.867
     2286        473.816
     2514        591.254
     2765        646.27
     3041        708.372
     3345        779.309
     3679        848.389
     4046        933.846
     4450        1024.9
     4895        1118.8
     5384        1227.71
     5922        1347.34
     6514        1478.33
     7165        1627.04
     7881        1762.9
     8669        1927.73
     9535        2106.99
     10488       2279.71
     11536       2490.96
     12689       2707.03
     13957       2923.86
     15352       3144.42
     16887       3381.34
     18575       3696.86
     20432       3963.06
     22475       4272.69
     24722       4612.47
     27194       4881.39
     29913       5195.86
     32904       5532.41
     36194       5811.05
     39813       6185.09
     43794       6444.75
     48173       6827.19
     52990       7125.94
     58289       7405.07
     64117       7640.33
     70528       8017.95
     77580       8353.48
     85338       8627.65
     93871       8812.48
     103258      9196.18
     113583      9393.47
     124941      9541.58
     137435      9950.79
     151178      10373.1
     166295      10556.1
     182924      10911.1
     201216      10980.2
     221337      11369.7
     243470      11632.2
     267817      11585.3
     294598      11661.3
     324057      11876
     356462      12107.4
     392108      12144.6
     431318      12153.1
     474449      12335.3
     521893      12523
     574082      12481.1
     631490      12670.5
     694639      12414.7
     764102      12702.9
     840512      12634.6
     924563      12780.5
     1017019     12864.5
     1118720     12569.8
     1230592     12807.7
     1353651     12706.2
     1489016     12995.2
     1637917     12197
     1801708     11700.4
     1981878     10469.7
     2180065     9323.76
     2398071     7701.96
     2637878     6259.51
     2901665     5295.77
     3191831     4569.38
     3511014     4111.13
     3862115     3870.21
