
 Daxpy product:
   Blaze [MFlop/s]:
     1           0.643811
     2           1.2628
     3           1.92796
     4           2.58102
 Blaze kernel 'daxpy': Time deviation too large!!!
     5           3.04049
     6           3.81599
     7           4.37421
     8           4.87681
     9           5.35031
     10          6.1512
     11          6.52001
     12          7.46639
     13          7.71454
     14          8.41978
 Blaze kernel 'daxpy': Time deviation too large!!!
     15          9.68729
     16          9.65899
     17          10.5016
     18          10.4929
     19          10.9628
     20          11.947
     22          13.5698
     24          14.4805
     26          16.1502
     28          17.3142
     30          17.6311
     33          21.3011
     36          23.1221
     39          24.0697
     42          27.4594
     46          28.1359
     50          29.1
     55          32.1148
     60          37.767
     66          37.5124
     72          45.7478
     79          50.7753
     86          54.6672
     94          61.6163
     103         68.2362
     113         72.2323
     124         76.7835
     136         89.6366
     149         91.7698
     163         100.563
     179         109.619
     196         116.511
     215         127.939
     236         140.963
     259         152.226
     284         177.852
     312         203.282
     343         198.565
     377         201.605
     414         219.243
     455         271.687
     500         266.395
     550         286.716
     605         309.086
     665         354.795
     731         373.975
     804         417.744
     884         422.197
     972         471.062
     1069        543.082
     1175        590.309
     1292        640.542
     1421        694.746
     1563        775.228
     1719        898.606
     1890        936.53
     2079        996.103
     2286        1094.02
     2514        1241.41
     2765        1238.74
     3041        1401.34
     3345        1411.82
     3679        1473.4
     4046        1616.94
     4450        1808.76
     4895        1855.94
     5384        2026.2
     5922        2186.95
     6514        2251.36
     7165        2238.78
     7881        2592.12
     8669        2674.44
     9535        2846.14
     10488       3068.14
     11536       3192.79
     12689       3337.95
     13957       3417.3
     15352       3242.27
     16887       3307.34
     18575       3848.18
     20432       3935.66
     22475       4038.83
     24722       4009.24
     27194       4066.55
     29913       4148.97
     32904       4234.33
     36194       4181.24
     39813       4162.99
     43794       4031.14
     48173       3968.87
     52990       3897.42
     58289       3805.71
     64117       3807.63
     70528       3823.02
     77580       3894.08
     85338       3913.97
     93871       3950.65
     103258      3966.45
     113583      3996.35
     124941      3872.18
     137435      4041.43
     151178      4080.78
     166295      4089.14
     182924      4102.88
     201216      3840.41
     221337      4122.79
     243470      4133.23
     267817      4050.56
     294598      3974.9
     324057      3961.78
     356462      3975.5
     392108      4118.22
     431318      4217.07
     474449      4211.51
     521893      4205.06
     574082      4023.94
     631490      4001.57
     694639      4018.82
     764102      3920.91
     840512      4085.23
     924563      4029.59
     1017019     3932.29
     1118720     3771.33
     1230592     4096.94
     1353651     4099.34
     1489016     4261.14
     1637917     4146.02
     1801708     4047.59
     1981878     3984.11
     2180065     3917.53
     2398071     2808.18
     2637878     2666.06
     2901665     2591.51
     3191831     2547.37
     3511014     2399.34
     3862115     2263.84
     4248326     1968.48
     4673158     1903.45
     5140474     1859.06
     5654521     1813.57
     6219973     1794.43
     6841970     1784.57
     7526167     1787.59
     8278784     1789.18
     9106663     1786.75
     10000000    1786.13
   N=1, steps=691393
     Blaze       = 1        (2.14781)
   N=2, steps=611018
     Blaze       = 1        (1.93545)
   N=3, steps=646863
     Blaze       = 1        (2.0131)
   N=4, steps=589604
     Blaze       = 1        (1.8275)
   N=5, steps=604319
     Blaze       = 1        (1.98757)
   N=6, steps=615797
     Blaze       = 1        (1.93647)
   N=7, steps=599011
     Blaze       = 1        (1.91718)
   N=8, steps=592501
     Blaze       = 1        (1.9439)
   N=9, steps=614657
     Blaze       = 1        (2.06788)
   N=10, steps=638071
     Blaze       = 1        (2.07462)
   N=11, steps=594409
     Blaze       = 1        (2.00567)
   N=12, steps=569286
     Blaze       = 1        (1.82992)
   N=13, steps=611058
     Blaze       = 1        (2.05942)
   N=14, steps=565406
     Blaze       = 1        (1.88026)
   N=15, steps=647886
     Blaze       = 1        (2.0064)
   N=16, steps=584928
     Blaze       = 1        (1.93785)
   N=17, steps=588611
     Blaze       = 1        (1.90569)
   N=18, steps=561394
     Blaze       = 1        (1.92609)
   N=19, steps=654930
     Blaze       = 1        (2.27016)
   N=20, steps=615433
     Blaze       = 1        (2.06054)
   N=22, steps=592852
     Blaze       = 1        (1.92231)
   N=24, steps=575333
     Blaze       = 1        (1.90711)
   N=26, steps=572869
     Blaze       = 1        (1.84451)
   N=28, steps=623757
     Blaze       = 1        (2.01744)
   N=30, steps=618581
     Blaze       = 1        (2.10508)
   N=33, steps=568676
     Blaze       = 1        (1.76201)
   N=36, steps=582845
     Blaze       = 1        (1.81492)
   N=39, steps=626946
     Blaze       = 1        (2.03167)
   N=42, steps=632599
     Blaze       = 1        (1.93516)
   N=46, steps=601791
     Blaze       = 1        (1.96776)
   N=50, steps=621464
     Blaze       = 1        (2.13562)
   N=55, steps=597847
     Blaze       = 1        (2.04775)
   N=60, steps=630839
     Blaze       = 1        (2.00441)
   N=66, steps=636454
     Blaze       = 1        (2.23958)
   N=72, steps=553560
     Blaze       = 1        (1.74244)
   N=79, steps=557300
     Blaze       = 1        (1.73418)
   N=86, steps=716702
     Blaze       = 1        (2.25497)
   N=94, steps=633161
     Blaze       = 1        (1.93186)
   N=103, steps=619225
     Blaze       = 1        (1.86939)
   N=113, steps=623605
     Blaze       = 1        (1.95113)
   N=124, steps=638789
     Blaze       = 1        (2.0632)
   N=136, steps=651638
     Blaze       = 1        (1.97738)
   N=149, steps=608210
     Blaze       = 1        (1.97501)
   N=163, steps=606477
     Blaze       = 1        (1.96604)
   N=179, steps=600702
     Blaze       = 1        (1.9618)
   N=196, steps=585791
     Blaze       = 1        (1.97089)
   N=215, steps=542510
     Blaze       = 1        (1.82336)
   N=236, steps=573260
     Blaze       = 1        (1.9195)
   N=259, steps=585663
     Blaze       = 1        (1.99292)
   N=284, steps=673933
     Blaze       = 1        (2.15232)
   N=312, steps=611685
     Blaze       = 1        (1.87765)
   N=343, steps=634190
     Blaze       = 1        (2.19099)
   N=377, steps=653801
     Blaze       = 1        (2.44521)
   N=414, steps=541617
     Blaze       = 1        (2.04549)
   N=455, steps=585035
     Blaze       = 1        (1.95954)
   N=500, steps=508888
     Blaze       = 1        (1.91027)
   N=550, steps=518924
     Blaze       = 1        (1.99088)
   N=605, steps=490283
     Blaze       = 1        (1.91935)
   N=665, steps=521326
     Blaze       = 1        (1.95427)
   N=731, steps=515771
     Blaze       = 1        (2.01633)
   N=804, steps=556318
     Blaze       = 1        (2.1414)
   N=884, steps=484943
     Blaze       = 1        (2.03076)
   N=972, steps=505735
     Blaze       = 1        (2.08709)
   N=1069, steps=535468
     Blaze       = 1        (2.10802)
   N=1175, steps=481997
     Blaze       = 1        (1.91881)
   N=1292, steps=536975
     Blaze       = 1        (2.1662)
   N=1421, steps=502235
     Blaze       = 1        (2.05449)
   N=1563, steps=534690
     Blaze       = 1        (2.15606)
   N=1719, steps=530686
     Blaze       = 1        (2.03036)
   N=1890, steps=486366
     Blaze       = 1        (1.96306)
   N=2079, steps=469312
     Blaze       = 1        (1.95903)
   N=2286, steps=460603
     Blaze       = 1        (1.9249)
   N=2514, steps=502919
     Blaze       = 1        (2.03694)
   N=2765, steps=469156
     Blaze       = 1        (2.09441)
   N=3041, steps=469252
     Blaze       = 1        (2.03661)
   N=3345, steps=424390
     Blaze       = 1        (2.011)
   N=3679, steps=411570
     Blaze       = 1        (2.05533)
   N=4046, steps=402973
     Blaze       = 1        (2.01668)
   N=4450, steps=400623
     Blaze       = 1        (1.97127)
   N=4895, steps=383339
     Blaze       = 1        (2.02209)
   N=5384, steps=382714
     Blaze       = 1        (2.03389)
   N=5922, steps=376955
     Blaze       = 1        (2.0415)
   N=6514, steps=366159
     Blaze       = 1        (2.11886)
   N=7165, steps=319653
     Blaze       = 1        (2.04604)
   N=7881, steps=337364
     Blaze       = 1        (2.05142)
   N=8669, steps=318564
     Blaze       = 1        (2.06521)
   N=9535, steps=302347
     Blaze       = 1        (2.02582)
   N=10488, steps=294293
     Blaze       = 1        (2.012)
   N=11536, steps=278547
     Blaze       = 1        (2.01286)
   N=12689, steps=269009
     Blaze       = 1        (2.04524)
   N=13957, steps=250628
     Blaze       = 1        (2.04724)
   N=15352, steps=212241
     Blaze       = 1        (2.0099)
   N=16887, steps=216574
     Blaze       = 1        (2.21162)
   N=18575, steps=201895
     Blaze       = 1        (1.94908)
   N=20432, steps=191137
     Blaze       = 1        (1.98458)
   N=22475, steps=175716
     Blaze       = 1        (1.95562)
