
 Daxpy product:
   Blaze [MFlop/s]:
     1           162.689
     2           325.378
     3           488.071
     4           650.757
     5           732.053
     6           878.504
     7           1024.88
     8           1171.33
     9           1197.94
     10          1331.07
     11          1464.16
     12          1597.3
     13          1586.08
     14          1708.11
     15          1830.27
     16          2267.11
     17          2408.74
     18          2550.5
     19          2280.36
     20          2833.93
     22          2761.09
     24          3012.17
     26          2976.2
     28          3236.79
     30          3114.15
     33          3205
     36          3585.27
     39          3652.64
     42          3595.57
     46          3650.62
     50          3476.48
     55          4068.78
     60          4062.38
     66          4141.76
     72          4345.53
     79          4289.79
     86          4454.01
     94          4459.65
     103         4607.75
     113         4413.53
     124         4484.87
     136         4489.83
     149         4470.64
     163         4721.99
     179         4787.82
     196         4846.31
     215         4723.99
     236         5111.73
     259         5118.66
     284         5187.94
     312         5032.79
     343         5038.69
     377         5112.14
     414         4978.19
     455         5021.94
     500         5270.44
     550         4847.81
     605         4897.71
     665         4868.03
     731         4904.4
     804         4950.29
     884         4981.17
     972         5027.81
     1069        5031.07
     1175        5032.57
     1292        5001.12
     1421        4848.88
     1563        4958.78
     1719        4894.16
     1890        4871.97
     2079        4210.4
     2286        3172.22
     2514        3008.24
     2765        3015.8
     3041        2976.34
     3345        3016.39
     3679        3029.88
     4046        3065.23
     4450        2990.88
     4895        3013.57
     5384        3040.65
     5922        3024.67
     6514        3030.11
     7165        2458.1
     7881        3034.03
     8669        3029.79
     9535        3032.92
     10488       3053.16
     11536       3005.85
     12689       2916.74
     13957       2843.24
     15352       2415.77
     16887       2346.89
     18575       2645.76
     20432       2535.94
     22475       2480.45
     24722       2403.78
     27194       2289.95
     29913       2208.95
     32904       2156.72
     36194       2156.81
     39813       4142.95
     43794       4123.37
     48173       3978.28
     52990       3918.77
     58289       3813.31
     64117       3829.71
     70528       3845.35
     77580       3916.07
     85338       3932.21
     93871       3957.81
     103258      3968.36
     113583      4003.85
     124941      3878.86
     137435      4052.14
     151178      4086.13
     166295      4100.36
     182924      4106.36
     201216      3794.39
     221337      4124.21
     243470      4139.97
     267817      4061.03
     294598      3979.04
     324057      3968.19
     356462      3986.74
     392108      3920.33
     431318      3937.62
     474449      3970.83
     521893      3994.01
     574082      4235.56
     631490      4238.33
     694639      4038.46
     764102      3949.2
     840512      4106.96
     924563      4068.52
     1017019     3969.96
     1118720     3715.74
     1230592     4103.54
     1353651     4035.38
     1489016     4003.35
     1637917     4010.58
     1801708     3912.8
     1981878     4234.67
     2180065     3769.35
     2398071     3440.67
     2637878     2957.22
     2901665     2566.67
     3191831     2393.46
     3511014     2160.37
     3862115     2094.27
     4248326     1953.11
     4673158     1877.22
     5140474     1857.29
     5654521     1813
     6219973     1797.41
     6841970     1794.81
     7526167     1795.12
     8278784     1795.86
     9106663     1792.04
     10000000    1796.86
   N=1, steps=156890984
     Blaze       = 1        (1.92872)
   N=2, steps=156874020
     Blaze       = 1        (1.92851)
   N=3, steps=156791180
     Blaze       = 1        (1.92748)
   N=4, steps=156888010
     Blaze       = 1        (1.92868)
   N=5, steps=141400941
     Blaze       = 1        (1.93157)
   N=6, steps=120309531
     Blaze       = 1        (1.64338)
   N=7, steps=141292627
     Blaze       = 1        (1.93007)
   N=8, steps=141706619
     Blaze       = 1        (1.93566)
   N=9, steps=128705576
     Blaze       = 1        (1.9339)
   N=10, steps=129132007
     Blaze       = 1        (1.94028)
   N=11, steps=129095287
     Blaze       = 1        (1.93975)
   N=12, steps=129196138
     Blaze       = 1        (1.94122)
   N=13, steps=118611767
     Blaze       = 1        (1.94435)
   N=14, steps=118713318
     Blaze       = 1        (1.946)
   N=15, steps=102143786
     Blaze       = 1        (1.67424)
   N=16, steps=128230407
     Blaze       = 1        (1.80996)
   N=17, steps=108389423
     Blaze       = 1        (1.52995)
   N=18, steps=108322183
     Blaze       = 1        (1.52895)
   N=19, steps=108385583
     Blaze       = 1        (1.80614)
   N=20, steps=108383830
     Blaze       = 1        (1.5298)
   N=22, steps=95705151
     Blaze       = 1        (1.52513)
   N=24, steps=95966647
     Blaze       = 1        (1.52926)
   N=26, steps=88798634
     Blaze       = 1        (1.55149)
   N=28, steps=88997416
     Blaze       = 1        (1.53975)
   N=30, steps=84121418
     Blaze       = 1        (1.62076)
   N=33, steps=78293537
     Blaze       = 1        (1.61228)
   N=36, steps=78404062
     Blaze       = 1        (1.57453)
   N=39, steps=72870309
     Blaze       = 1        (1.5561)
   N=42, steps=69516678
