
 Daxpy product:
   Blaze [MFlop/s]:
     1           162.67
     2           325.325
     3           487.989
     4           650.624
     5           731.928
     6           878.309
     7           1024.66
     8           1171.13
     9           1197.95
     10          1331.09
     11          1464.23
     12          1597.36
     13          1586.23
     14          1708.21
     15          1830.03
     16          2266.59
     17          2407.73
     18          2548.61
     19          2691.09
     20          2832.56
     22          2759.77
     24          3010.91
     26          3004.19
     28          3236.22
     30          3112.86
     33          3168.03
     36          3643.51
     39          3652.77
     42          3623.06
     46          3694.53
     50          3688.42
     55          4069.83
     60          4102.81
     66          3771.97
     72          4383.81
     79          4339.26
     86          3942.35
     94          4458.04
     103         4247.1
     113         4239.82
     124         4523.71
     136         4463.69
     149         4446.23
     163         4711.29
     179         4790.13
     196         4842.29
     215         4706.77
     236         5120.99
     259         5119.07
     284         5185.06
     312         5031.04
     343         5035
     377         5126.54
     414         4965.14
     455         5019.69
     500         5061.66
     550         4864.12
     605         4888.28
     665         4908.31
     731         4970.18
     804         4992.51
     884         5000.97
     972         5274.82
     1069        5058.04
     1175        5078.7
     1292        5267.91
     1421        5054.93
     1563        4987.06
     1719        4994.98
     1890        4942.1
     2079        4197.58
     2286        3107.66
     2514        3008.42
     2765        2920.82
     3041        2956.46
     3345        3006.9
     3679        3003.89
     4046        3026.43
     4450        2998.68
     4895        2984.75
     5384        2982.86
     5922        2931.45
     6514        2920.4
     7165        2334.39
     7881        2814.11
     8669        2792.08
     9535        2773.1
     10488       2800.95
     11536       2758.22
     12689       2723.48
     13957       2669.18
     15352       2193.06
     16887       2180.92
     18575       2616.04
     20432       2551.9
     22475       2496.08
     24722       2380.44
     27194       2311.51
     29913       2273.3
     32904       2264.99
     36194       2233.08
     39813       5942.02
     43794       6223.42
     48173       6623.51
     52990       6962.41
     58289       7259.68
     64117       7434.22
     70528       7806.56
     77580       8103.72
     85338       8430.21
     93871       8581.05
     103258      9002.66
     113583      9202.81
     124941      9437.97
     137435      9783.15
     151178      10119.6
     166295      10386.9
     182924      10678.7
     201216      10779.2
     221337      11116.3
     243470      11334.3
     267817      11411.6
     294598      11500.3
     324057      11579.5
     356462      11742.9
     392108      11801.9
     431318      12013.4
