
 Dense Vector/Dense Vector Addition:
   Blaze [MFlop/s]:
     1           0.234775
     2           0.474178
     3           0.707117
     4           0.929304
     5           1.16391
     6           1.38989
     7           1.59593
     8           1.98665
     9           2.19395
     10          2.3081
     11          2.56806
     12          2.84319
     13          3.4016
     14          3.6214
     15          3.47582
     16          3.71868
     17          3.95868
     18          4.11915
     19          4.35173
     20          4.56594
     22          5.48833
     24          6.03077
     26          5.85184
     28          6.32542
     30          6.78233
     33          7.46577
     36          8.82324
     39          9.54578
     42          10.3719
     46          10.0774
     50          11.2847
     55          13.5393
     60          14.145
     66          15.6216
     72          18.2692
     79          18.4452
     86          19.6121
     94          22.3267
     103         22.7427
     113         24.9857
     124         27.6177
     136         30.5432
     149         37.8451
     163         36.9001
     179         40.4814
     196         47.836
     215         44.9087
     236         52.3195
     259         57.9679
     284         64.513
     312         72.6633
     343         77.3611
     377         83.1777
     414         88.6928
     455         104.503
     500         110.937
     550         113.906
     605         130.76
     665         145.323
     731         158.383
     804         178.004
     884         191.683
     972         208.648
     1069        232.797
     1175        248.033
     1292        280.483
     1421        292.685
     1563        341.694
     1719        356.727
     1890        407.173
     2079        419.89
     2286        455.035
     2514        523.713
     2765        568.117
     3041        612.326
     3345        668.089
     3679        730.657
     4046        778.819
     4450        845.007
     4895        946.456
     5384        984.058
     5922        1091.24
     6514        1165.71
     7165        1226.66
     7881        1332.97
     8669        1418.66
     9535        1498.31
     10488       1556.75
     11536       1658.21
     12689       1757.22
     13957       1820.58
     15352       1852.31
     16887       1912.54
     18575       2047.43
     20432       2142.77
     22475       2216.93
     24722       2247.84
     27194       2266.01
     29913       2332.99
     32904       2362.83
     36194       2375.13
     39813       2408.45
     43794       2454.02
     48173       2490.01
     52990       2475.38
     58289       2634.01
     64117       2666.35
     70528       2702.38
     77580       2681.56
     85338       2782.13
     93871       2814.49
     103258      2837.61
     113583      2876.19
     124941      2811.61
     137435      2906.32
     151178      2924.46
     166295      2935.38
     182924      2972.28
     201216      2911.17
     221337      3000.33
     243470      2977.56
     267817      2966.85
     294598      3015.62
     324057      3008.59
     356462      3035.14
     392108      3041.91
     431318      3062.88
     474449      3039.24
     521893      3057.55
     574082      3049.23
     631490      3067.19
     694639      3031.59
     764102      3045.63
     840512      3039.13
     924563      2962.55
     1017019     2926.83
     1118720     2764.77
     1230592     2647.54
     1353651     2466.63
     1489016     2178.92
     1637917     1924.54
     1801708     1819.32
     1981878     1640.79
     2180065     1516.36
     2398071     1427.88
     2637878     1358.16
     2901665     1323.69
     3191831     1309.43
     3511014     1341.51
     3862115     1281.21
     4248326     1257
     4673158     1185.99
     5140474     1184.82
     5654521     1125.4
     6219973     859.007
     6841970     1050.29
     7526167     989.781
     8278784     1037.63
     9106663     1032.66
     10000000    977.496
   N=1, steps=470339
     Blaze       = 1        (2.00336)
   N=2, steps=478920
     Blaze       = 1        (2.02)
   N=3, steps=450598
     Blaze       = 1        (1.9117)
   N=4, steps=471439
     Blaze       = 1        (2.02921)
   N=5, steps=533711
     Blaze       = 1        (2.29275)
   N=6, steps=533129
     Blaze       = 1        (2.30146)
   N=7, steps=540587
     Blaze       = 1        (2.3711)
   N=8, steps=535685
     Blaze       = 1        (2.15714)
   N=9, steps=520959
     Blaze       = 1        (2.13707)
   N=10, steps=446999
     Blaze       = 1        (1.93666)
   N=11, steps=447121
     Blaze       = 1        (1.91519)
   N=12, steps=455606
     Blaze       = 1        (1.92294)
   N=13, steps=476729
     Blaze       = 1        (1.82193)
   N=14, steps=473750
     Blaze       = 1        (1.83147)
